Series Name,Series Code,Country Name,Country Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Mexico,MEX,8.625,8.432,8.274,8.125,7.975,7.786,7.573,7.32,7.04,6.772,6.534,6.341,6.186,6.051,5.938,5.855,5.777,5.68,5.584,5.489,5.403,5.316,5.235,5.152,5.086,5.036,4.997,4.962,4.946,4.96,5.001,5.078,5.177,5.302,5.426,5.533,5.594,5.597,5.642,5.696,5.805,6.007,6.305,6.615,6.856,6.931,9.33,9.406,6.705,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,North America,NAC,8.93557400253744,8.65447456397893,8.64422281381807,8.4537182324111,8.54393700935493,8.35398103007163,8.63416170752687,8.44382987158373,8.36305946801924,8.443391865311,8.53318396911953,8.53344487962965,8.55294694452134,8.46222427820421,8.74198946822171,8.65052862141788,8.4699459732548,8.44021405937725,8.34056825533072,8.63094660762749,8.63112610785949,8.64123495846739,8.64120459641634,8.55173689542448,8.46203929187443,8.46245597363501,8.36260956999251,8.36233382935032,8.36204290124023,8.27194398401456,8.09156544788829,8.18174519515683,7.991572099929,7.9210788380285,8.01107156985582,7.82084784692054,7.90625950699827,7.97619506560423,8.00199937307027,8.11350271402976,8.14310061728885,8.33571131599463,8.38299342521294,8.53293252548502,8.57831956764572,8.58419914595826,10.0464818015655,10.1730019559773,9.67436125347651,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Latin America & Caribbean,LCN,9.5093862671762,9.25528307411035,9.17803692013375,8.91707102861032,8.77018536618413,8.63746236288363,8.47782907639687,8.26802236260625,8.13649366295937,7.88698707258192,7.71615356000199,7.57960239410322,7.34234338520852,7.17894398437742,7.02742522120045,6.91353860094662,6.82911347505354,6.71086556218785,6.61426331387587,6.52809261617213,6.42279436467665,6.37169867293036,6.28683868648967,6.2169868736646,6.19252142751392,6.10608693614662,6.06150130507666,6.04119374163157,5.98866238163637,6.02003293038585,5.97765262013943,5.91897776634483,5.93686822310534,5.9999149058351,6.01071379743331,6.0411183882738,6.24652612714226,6.10879109616387,6.13168672759638,6.13542422422379,6.16375065779861,6.26061648929569,6.41605352557472,6.45468036945792,6.52690584240836,6.56974099622554,7.77135605041071,8.43592472801294,7.57589829562889,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,European Union,EUU,10.2560180602495,10.461887567803,10.420664550396,10.2472420570658,10.3485636862301,10.2537959145188,10.4597633365424,10.3312796886995,10.2132936005701,10.4444744703165,10.3055306826577,10.4965009037185,10.3546788688496,10.2487297588058,10.2208408761958,10.2303527045357,10.3256957950517,10.3552753080872,10.2391060539783,10.3319586766745,10.1975256103515,10.2441395363859,10.2471148771661,10.1375213768441,10.1400638744214,10.1184616323347,9.94637777647221,9.84475178636199,9.93845304861381,10.1176637104717,9.6575431436768,9.84949972102216,9.67585990585969,9.75906195964201,9.81840302515558,9.84646207422835,9.83908697482067,9.81195961557313,10.067463844683,10.0090857200435,9.85010146481908,10.396082640808,10.1770502453908,10.4606525720654,10.5097550024137,10.4015377977704,11.601065863335,11.8610332279177,11.5103824520112,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,South Africa,ZAF,11.318,11.075,10.782,10.494,10.223,10.011,9.81,9.539,9.298,9.075,8.902,8.715,8.517,8.439,8.235,8.162,8.031,8.017,7.944,8.052,8.231,8.382,8.691,8.949,9.335,9.738,10.174,10.871,11.784,12.657,12.947,13.177,13.234,12.973,12.543,11.947,11.257,10.592,9.993,9.77,9.432,9.259,8.924,8.802,8.765,8.614,9.425,11.432,12.032,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Central African Republic,CAF,18.271,17.833,17.461,17.212,17.003,16.825,16.68,16.535,16.448,16.349,16.273,16.19,16.126,16.09,16.07,16.071,16.088,16.132,16.206,16.273,16.4,16.577,16.795,16.99,17.068,17.159,17.325,17.245,17.168,16.889,16.658,16.367,16.08,15.696,15.313,14.907,14.534,14.092,13.622,13.392,13.517,12.15,11.711,11.544,11.23,10.873,11.041,11.393,11.003,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Middle East & North Africa,MEA,14.1994553017959,13.7431031752252,13.5356246401097,12.6915588133836,12.3058276863109,11.5931403144305,11.2434553407329,11.1042996144879,10.7722702358379,9.9385175161252,9.25997800742435,8.79968554355905,8.45029498051978,8.04624104682886,7.81109399878265,7.39185975108062,7.32741834514875,6.7718579812844,6.5032914615145,6.34729465451418,6.2428503380787,6.08902511417805,5.92504019885206,5.84195760367733,5.79505253694371,5.66139440365631,5.55871211600314,5.46476630797715,5.37780957583309,5.4794806724676,5.3473982600148,5.29479181687471,5.26467120038348,5.18620506601282,5.12947672732075,5.05191784463443,5.01565567672645,4.97053549886702,5.05968529695277,5.09909425975983,5.04482880575804,4.98768856469941,4.92283961497652,4.80505148033301,4.81115967080197,4.8350562492351,5.31809277259342,5.5874197145464,5.44010009326094,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sub-Saharan Africa,SSF,19.6195159331448,19.3105206250411,18.7474449862783,18.406302787923,18.1751957509808,17.8432299655301,17.597087878788,17.3451163351886,17.1274341665088,17.8442422131681,17.7636796375335,17.5103735230669,17.1653661850724,16.8466921563854,17.2810325091875,16.2546066063191,16.2224368991432,16.3317594579771,16.4464033003303,16.1251001396483,16.5324322705011,15.6156754168254,15.5663379006196,15.374263688005,15.5854946792174,14.9161659633003,14.4968012542122,14.2776712891163,13.9973585068532,13.6649737064569,13.3326408993251,12.9523651472155,12.5178999268571,12.1379331976665,11.7803698328394,11.3468295608508,10.9923876307944,10.6107499893157,10.2824495982652,9.99471786872818,9.74167875756055,9.52383110635664,9.26961762034306,9.0669300331584,8.87541276760117,8.69136359367892,8.84501737700215,9.1231049593998,8.83830583985278,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Africa Eastern and Southern,AFE,18.2090146858446,18.0675698291648,17.5419474387862,17.3413312089098,17.2308700447643,16.8890731292609,16.667233353127,16.4251588915459,16.2189143424871,17.5786842907697,17.5523355225819,17.2223893919002,16.7223652605472,16.321565135337,17.2179831437481,15.6143984986871,15.5798072024658,15.804425339201,16.0649253159176,15.6053021641486,16.2609252340584,14.8107370509243,14.8266013315332,14.629155954301,15.1401855480903,14.2348156104158,13.7657643045894,13.5826702245458,13.3002361384401,12.976006293222,12.6270375852672,12.2337341365809,11.7300787774155,11.2890409334747,10.8661061699106,10.3649077449207,9.94306979962963,9.50196583487185,9.10336923111703,8.77871461155644,8.47902808209954,8.24300208271378,7.97715113624097,7.77693089797363,7.59315332577477,7.44119818996752,7.62983137493464,8.04924628908896,7.85756094074036,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,East Asia & Pacific,EAS,8.18763327836691,8.30102744895243,8.15280083889595,7.59107951793129,7.12021510576214,7.01711206560431,7.08052219030193,7.0205491503294,7.11857543022274,7.28863756904101,7.17927407165084,7.10429832607771,7.1065245763838,6.98215879592994,6.92438871991771,6.80585834310897,6.87326641687807,6.85876499898247,6.79597904724463,6.76127484146538,6.66707845413839,6.76119989569626,6.72858152154465,6.68032193141484,6.67223121801482,6.67084387231891,6.65442546158887,6.62797275016856,6.61235725230433,6.57435104727263,6.68704761180088,6.6911610486275,6.86274232761127,6.95357316198512,7.12885113291515,7.06744381012996,7.11597018133848,7.16035547345565,7.1693437186261,7.16737698850868,7.16238633176483,7.15217496368799,7.16253617045755,7.20253348520039,7.22110427784248,7.2523964362758,7.38421107176169,7.82028020130018,7.83712295856962,..
